Data,Time,Dollar,%D,Euro,%E,Bitcoin,%B
2020-09-19,20:50,7.5643,+0.18%,8.9569,+0.12%,1950.65,+0.34%
2020-08-22,14:24,7.341,+0.61%,8.6613,+0.09%,1940.85,-0.33%
2020-08-21,21:06,7.3139,+0.27%,8.6194,-0.37%,1938.2,-0.47%
2020-08-19,20:14,7.2934,-1.08%,8.6595,-1.56%,1960.47,-2.09%
2020-08-18,22:28,7.3785,-0.05%,8.8055,+0.48%,2004.33,+0.95%
2020-08-14,20:09,7.3873,+0.67%,8.7547,+0.98%,1937.53,-0.84%
2020-08-13,22:10,7.3404,+0.11%,8.6624,+0.26%,1948.23,+1.67%
2020-08-12,21:01,7.3139,+1.33%,8.6267,+1.80%,1937.7,+1.33%
2020-08-09,23:02,7.2919,-0.02%,8.5993,-0.01%,2035.25,-1.36%
2020-08-06,20:53,7.2449,+2.83%,8.6149,+3.07%,2057.39,+0.93%
2020-08-05,20:02,7.0479,+2.15%,8.3715,+2.80%,2032.04,+0.62%
2020-07-31,11:19,6.9776,-0.23%,8.2866,+0.02%,1975.79,+0.97%
2020-07-30,12:19,7.0044,+0.27%,8.2204,-0.20%,1951.47,-0.99%
2020-07-24,13:16,6.8502,+0.16%,7.9489,+0.22%,1891.37,+0.19%
2020-07-23,15:04,6.8495,+0.01%,7.9276,+0.02%,1875.53,+0.18%
2020-07-11,20:54,6.8722,+0.14%,7.7642,+0.24%,1799.43,-0.24%
2020-07-06,20:14,6.8644,+0.05%,7.7658,+0.70%,1783.74,+0.43%
2020-07-03,21:31,6.8679,+0.27%,7.723,+0.31%,1777.4,+0.03%
2020-06-28,21:45,6.8595,+0.04%,7.6964,+0.03%,1771.61,+0.44%
2020-06-16,22:25,6.8439,+0.09%,7.7098,-0.41%,1725.44,+0.01%
2020-06-10,19:42,6.7952,0.00%,7.7152,+0.15%,1719.02,+0.24%
2020-06-04,19:26,6.767,+0.34%,7.6678,+1.21%,1716.41,+1.01%
2020-06-02,22:48,6.7301,-1.42%,7.4984,-1.14%,1728.61,-0.67%
2020-05-29,20:52,6.8375,+0.36%,7.5804,+0.43%,1735.49,+0.93%
2020-05-28,21:09,6.8175,+0.68%,7.5592,+1.44%,1714.36,+0.29%
2020-05-27,20:55,6.7776,+0.77%,7.4486,+0.86%,1713.22,+0.08%
2020-05-25,16:37,6.8172,+0.07%,7.4307,+0.07%,1727.79,-0.44%
2020-05-24,14:19,6.8179,+0.49%,7.4357,+0.08%,1735.31,+0.44%
2020-05-22,22:10,6.8217,+0.58%,7.4397,+0.16%,1735.39,+0.44%
2020-05-17,23:15,6.8952,-0.09%,7.4565,-0.13%,1743.15,+0.73%
2020-05-17,19:16,6.9032,-0.24%,7.4705,-0.10%,1743.15,+0.73%
2020-05-16,12:34,6.9032,-0.24%,7.4705,-0.10%,1743.15,+0.73%
2020-05-13,21:27,6.9785,-0.29%,7.5499,-0.55%,1712.13,+0.51%
2020-05-12,21:45,6.9954,-1.15%,7.5942,-0.70%,1703.75,+0.36%
2020-05-11,23:04,7.0779,-0.08%,7.6549,-0.43%,1697.04,-0.39%
